x	arrow-star	arrow-mst	arrow-random	ivy-random	random-random	localMinPairs-random	minWeight-random	dynamicStar-random
1.0	0.5124121653174524	0.6329176246732222	8.457291694538021	7.09348137314858	7.769630103675897	7.09348137314858	7.09348137314858	7.09348137314858
2.0	0.5442743105343085	0.5742968034950039	7.755324085898793	5.861877457976838	6.7390940258084795	5.861877457976838	6.149647611973833	5.861877457976838
3.0	0.7964727804683213	0.6392788821534532	8.669519238879317	6.1124690216219735	6.19194187717036	6.11264799249748	6.209941708448153	6.1124690216219735
4.0	0.9809025081947366	1.2305032897679962	9.065091341382614	5.45846298805376	6.50081300077715	5.46926428690293	5.547099259663468	5.45846298805376
5.0	1.046014467805116	1.7032929702432578	8.771885329416435	5.8055752718434	6.704350712705577	5.612775721355899	5.670207219510051	5.8055752718434
6.0	1.0991407349465627	1.8989274107587204	8.821003735779794	5.406320747308636	6.215111026792036	5.1373659853829405	5.220850451939288	5.406320747308636
7.0	1.1428475082981728	1.913393097478504	8.381938303582086	5.348978252231871	5.992404911196198	5.263640919454708	5.2875216218341405	5.348978252231871
8.0	1.2245218094668484	1.7637495771189364	8.131498186752303	5.126914826965059	5.837614002504252	5.052582436823687	5.156867181064506	5.126914826965059
9.0	1.2855852878481522	1.8229274763752887	8.075167309341264	4.980285897573261	5.8995691084111614	4.975089481243712	5.132917123296756	4.980285897573261
10.0	1.3223309121640954	1.7017036751684864	8.553138215840578	5.197646283962195	6.2650308670083446	5.256548163602218	5.400027838195894	5.197646283962195
11.0	1.3297715078901207	1.7277968127710535	8.297074816855504	4.994468813199561	6.081091712340441	5.100144467387711	5.231667502431914	4.994468813199561
12.0	1.3091841285487678	1.6150575778294942	8.243079810533455	5.18380719388468	6.163495530848449	5.140682588590367	5.267564196335858	5.18380719388468
14.0	1.3532167600060132	1.6710966656055946	8.431270175360451	5.132254333534924	6.237246815078088	4.988404612953117	5.146932668051368	5.132254333534924
16.0	1.3980467005191555	1.6328720658376892	8.440849801810337	4.906914862015773	6.673104884002869	4.8524185254947945	5.116324320373928	4.906914862015773
18.0	1.3675999607280132	1.5991984045987737	9.001051451343868	4.767223981030636	6.870389618502781	4.590946722157803	4.972189583772902	4.767223981030636
20.0	1.4325496389163155	1.7184954243926112	9.539408239621023	4.6883746523009036	6.510836598902404	4.425834179793163	4.837646050063863	4.713609679838413
23.0	1.4753608334734218	1.802431425401188	9.871922968686937	4.929413673199175	6.251769641694482	4.769351869510245	5.155146419111078	4.863027199159819
25.0	1.5052918659185481	1.8288890601060817	9.873461928361907	4.945755131650571	6.142933022523386	4.771983188718944	4.983525222983927	4.884632822750982
29.0	1.5352157560425517	1.7813778581003872	9.869258190832095	4.612672726152462	5.858215586519338	4.4087976272916025	4.6748735749024215	4.626647282969788
32.0	1.511279424642464	1.783623414225925	9.785414512885733	4.638502774998842	5.889116737498448	4.273475419371198	4.409576751760874	4.529693430633867
36.0	1.5336371054758218	1.7875071846667636	9.283074541062078	4.456109554974213	5.685855763809848	4.106250680353304	4.206672896759095	4.4273283355984505
41.0	1.501721358864983	1.753832007984575	9.365539400545074	4.42565157034956	5.8171207974735095	3.8612454766382	3.8646088328100827	4.338696110487229
46.0	1.5244990238820804	1.7287586267153126	9.424909778295424	4.455165694612621	5.9274461930571105	3.7815131464739205	3.7968466973683914	4.374651074006768
52.0	1.5236971085360287	1.8074433859687735	8.960038268261599	4.3663044243305364	5.98008236256461	3.729776530155273	3.7122746984007016	4.352756887194614
58.0	1.5052008167117772	1.7757989358889892	8.8673987140311	4.413112657340482	5.940081345236905	3.642212202850417	3.685828053837371	4.4227178927320265
65.0	1.4696775645853257	1.7063715615166932	8.710216813323795	4.504266244656226	5.956423734104906	3.56618530310534	3.690521123821481	4.533543374247105
73.0	1.4549978340607208	1.7271254245598346	8.843382715658166	4.350223151761803	5.9871155893676	3.5090261763125614	3.600889744362158	4.343508047070069
83.0	1.4442080242456994	1.765358589967324	8.767965959371528	4.2722346546067165	5.956825252146748	3.450626256208514	3.574026177107641	4.2644157600153365
93.0	1.4798149687828794	1.7836929450513272	8.947812910925895	4.239640832793335	5.861803260106875	3.3463439241864	3.5535982396752237	4.362808552416278
104.0	1.4430619773571682	1.7732694769662503	8.668724418157227	4.18008170743089	5.823758545137359	3.198918606944166	3.4759196789931215	4.232620273237027
117.0	1.438782253997868	1.776152139130761	8.708275149993822	4.195972556007685	5.8247660088058595	3.0873231893683584	3.2667087037105875	4.238518440285404
132.0	1.4194786623407754	1.7714987398007476	8.75116190759397	4.197456257426082	5.855641075530586	3.0439229799991923	3.1666069255463882	4.236671821244787
148.0	1.4225368727615766	1.7899671470984027	8.679140446443315	4.189550560765228	5.770738712462076	2.946621282638241	3.0592511244822784	4.141598022140284
166.0	1.4308028585910342	1.7827625599763652	8.629935583666526	4.058020565837124	5.748046975717247	2.8435455911988097	2.897318113254727	4.085284158048688
187.0	1.432082747205982	1.7771597160123804	8.330558484824731	4.050653994505556	5.695475284099368	2.762739868351399	2.764239888002638	4.072806901452602
210.0	1.422640756776801	1.741372821572456	8.370740991963938	4.082064050464686	5.714556118512108	2.707567686185811	2.660857796838495	4.088483749964734
236.0	1.4407610715451247	1.7655829819135005	8.37225382947854	4.12398693025298	5.787742216520424	2.662166915964093	2.5732641548905537	4.156937502507694
265.0	1.4426779993478274	1.7920249056272288	8.498080203740741	4.14506581467652	5.763120457956002	2.564043068283388	2.529917715940646	4.166554735362932
298.0	1.4470864602301847	1.8061214530640555	8.5997123945381	4.223647209585101	5.762266304458489	2.4838538448162155	2.4745667303097685	4.117625624661805
335.0	1.4326730434665287	1.7750409897449568	8.520442382297741	4.156896442286268	5.809355658800166	2.4129674832160424	2.440605589247564	3.976618562136603
376.0	1.4262771789051576	1.7368915600785213	8.484707147638668	4.190199555742848	5.829079577611707	2.333730295563725	2.367076009456822	3.8771383537207447
422.0	1.4357189115397717	1.7463270506846857	8.567984540952136	4.170330222479719	5.847834124101011	2.2701342566809473	2.374788464471816	3.818957123569176
475.0	1.437934510225058	1.7602026771390604	8.5285237513026	4.185332860700341	5.921795487062367	2.193005652979246	2.31735211292041	3.6909768226004287
533.0	1.4490531205144626	1.7717711000976377	8.555967668492967	4.233985770688713	5.9465031953194165	2.153541822433367	2.301724705007626	3.609521762823388
599.0	1.4671144093801023	1.784417794713588	8.57182578003734	4.2589222985805	6.009213452353869	2.1006119662904608	2.267172572892542	3.534730867855296
673.0	1.477880292281426	1.80807000883615	8.513479247768126	4.270857539585967	5.925420895172544	2.055648977602294	2.2518086298241284	3.4892981230116344
756.0	1.470646069436594	1.8165074148017835	8.460711552126503	4.2547293799729395	5.918584956853359	2.012444995427362	2.1983134469513543	3.3964603654972487
849.0	1.4643042672095392	1.8047893363647574	8.462844635363181	4.269642858497339	5.870322940189286	1.9749059917756566	2.1728560642559738	3.2786269292224306
954.0	1.4704508512262675	1.8130679745090792	8.445345690678154	4.258065895175438	5.8795061129885635	1.9399845892708079	2.1908700184068004	3.1510389256802673
1072.0	1.4743492859428835	1.8070949900302755	8.453669738411659	4.232047605448681	5.862619149731173	1.905505076453459	2.1570354917034247	3.024490423068254
1204.0	1.474097062621281	1.8133083478977556	8.460148990304445	4.222195238252829	5.898767129196007	1.872802090646776	2.1288466049715593	2.929038361099004
1353.0	1.4790518404946615	1.824411256267835	8.49702378802469	4.225701171857071	5.932906515668115	1.838228341745613	2.1102572401414648	2.8370182390451926
1519.0	1.479702361905338	1.8348420884673777	8.482128142240251	4.238885994945865	5.93881607526022	1.811945374116864	2.114128926082137	2.7272255564582437
1707.0	1.4850327079926884	1.8290256253642079	8.484188016480102	4.246304830389311	5.938036148714605	1.7877456004609662	2.1024592215955096	2.635705891874332
1917.0	1.4876174333446588	1.830697873259141	8.474850660804135	4.25316991700619	5.947243134103284	1.764294654943602	2.096832745875987	2.587644243454296
2154.0	1.484139982803951	1.830556815478949	8.448838756344653	4.243831392749861	5.912405545605696	1.7524128265319971	2.0986244395681917	2.504842863803574
2420.0	1.477250008712351	1.8245117403981064	8.413792258292608	4.208793886146054	5.889612286871916	1.7349476828587889	2.1031301086882785	2.399966285016593
2718.0	1.4705692223062807	1.816122651416788	8.429683492904118	4.211949285314425	5.91790765038982	1.722396665995582	2.106791208509489	2.324337660638341
3053.0	1.471203842069623	1.8284318648848452	8.450363626522346	4.194194713683206	5.888101684220542	1.7196288566769944	2.1062074406820033	2.241643746118022
3430.0	1.471360632877354	1.8233595708019579	8.47857561687722	4.197772672893487	5.894102066160845	1.7142081074958826	2.1157825906867243	2.1595051141212176
3853.0	1.478888562476136	1.8308352283878988	8.470261036193387	4.216582999727184	5.8802116526893045	1.7178435249995452	2.1180797824433117	2.1079739941116427
4328.0	1.4789156228838694	1.8347417165707056	8.444565421375861	4.231059197581533	5.882174601563222	1.7130476260765906	2.1320727927221386	2.0458549972632576
4862.0	1.4793487526856952	1.8407546923353042	8.46149578184156	4.223557221244218	5.8621917933943255	1.7072713601709086	2.143481064733879	1.9902664323529706
5462.0	1.4786852737702074	1.8436801743604325	8.484643133413417	4.221055726090157	5.841331692120612	1.7048003349630767	2.167117389534877	1.9545451295528786
6135.0	1.4815045084059242	1.84613867969738	8.500038402464542	4.233105148183283	5.837195158486874	1.6993069493303055	2.1842836140209894	1.9134896350300106
6892.0	1.4772469911479362	1.8462470801222577	8.493528054361425	4.2283708231301755	5.832984273807603	1.6944358426417183	2.1982255842835023	1.8620317513648619
7742.0	1.4809872296522073	1.8549982433973924	8.488795481988769	4.231667550744234	5.832476630789072	1.6884715751491035	2.208652384635875	1.8328509902832224
8697.0	1.4837566520011967	1.8601676047643738	8.476888079714005	4.238928959239354	5.826081053007388	1.6879291671471683	2.222279669839983	1.7971870663533018
9770.0	1.4821923076738357	1.85887275790744	8.505088878190445	4.236814330197984	5.807238223383669	1.6871033320037851	2.2340864599910466	1.7622995124584988
10974.0	1.4833033184430053	1.8609351479497411	8.493466851011537	4.246250318250921	5.7804339126193875	1.685377664958967	2.233319240187087	1.7328870801740652
12328.0	1.482392656577343	1.8671129626872933	8.48374144697253	4.2525794879774415	5.760188200571524	1.6823085576617884	2.247784459369787	1.7052508231100483
13848.0	1.4840047129006684	1.8667028812685662	8.470386171171599	4.251354169930311	5.743798517879303	1.683995641705835	2.256532329815207	1.6843668477687654
15556.0	1.4833523594761584	1.8672806558468573	8.482512377360901	4.250793335594895	5.729985647817943	1.682505819309565	2.2664777891030825	1.6645562622490633
17475.0	1.48434578124543	1.8655816387706778	8.476351274267701	4.250363636415629	5.7389161738083665	1.6796175768810393	2.2759894848764697	1.6456949066407804
19630.0	1.4828201973042159	1.8621899336838532	8.476849593814801	4.240579147706543	5.724613582088203	1.6741338234903866	2.2793009394533454	1.6287793608795555
22051.0	1.4860560218545023	1.8651545250003942	8.474366913883019	4.243802718851087	5.721348552966267	1.6764452140596178	2.284737266687049	1.616428557851047
24770.0	1.4844515099019884	1.8637933251876915	8.471856800819602	4.2416489601059055	5.72265445224531	1.6759917622299392	2.2928783863567896	1.6013248108833174
27825.0	1.4841024311742117	1.863193417560548	8.471266841889125	4.237766019542622	5.722314804547115	1.675053335842586	2.295480521247755	1.5881442819112441
31256.0	1.485077856260827	1.86540814488892	8.470443183941999	4.239014139155318	5.735564650606874	1.6765096795056422	2.296269539047754	1.5776993022923866
35111.0	1.4848950560972276	1.863106664660109	8.467202156477608	4.239722470606056	5.734042444802875	1.6749271963434897	2.3017213499001556	1.567416199821896
39441.0	1.4846253730835066	1.8591885909358894	8.468180302013451	4.234336101057457	5.7341745156987445	1.6719224268993886	2.3047746494116113	1.5580872258916931
44305.0	1.483331818426542	1.8577350007894287	8.460669140911536	4.232778046135764	5.7483554301249935	1.6681933021092592	2.3028409376851027	1.548728884251945
49769.0	1.4854620149832527	1.8600797970776823	8.457441820189231	4.233179677141426	5.753034449047063	1.6724351821206571	2.3071700070491707	1.5436794632143163
55907.0	1.4859677607467123	1.8618622368782183	8.456178678279873	4.233499490082767	5.749702276346106	1.6715285098762336	2.3080013292360717	1.5377936604115225
62802.0	1.4843975263267153	1.8596703329033006	8.464437195564747	4.231996623821245	5.7460992536998114	1.6700407403038637	2.3108070463607087	1.530533577127807
70547.0	1.484114091705317	1.8592889671986614	8.4632718098281	4.232178932002574	5.733880700801479	1.6682359196427872	2.3104337981317786	1.5251851695311995
79247.0	1.483872109539755	1.857186691709967	8.475724763688234	4.23171530325804	5.730945573822675	1.6655697811520889	2.3085824331943434	1.520434324339622
89020.0	1.4840576303610327	1.8570240859850937	8.469676871306968	4.2297360133721496	5.733521769719237	1.666161548795276	2.307340501689995	1.5166059324297494
99999.0	1.4842904448035816	1.8577611728177292	8.469700877009705	4.229719205127453	5.7288210294639885	1.6647296931055668	2.3082076614035176	1.5132652687881865
