x	arrow-star	arrow-shortpairs	arrow-shortestpairs	ivy-random	localMinPairs-random	minWeight-random	indexMeanWeight-random
1.0	1.0	1.5	0.5	1.0	1.0	1.0	1.0
2.0	0.6666666666666667	1.0	0.33333333333333337	0.6666666666666667	0.6666666666666667	0.6666666666666667	0.6666666666666667
3.0	0.75	1.0	0.5	1.0	1.0	1.0	1.0
4.0	1.0	1.2	0.8	1.6	1.6	1.6	1.6
5.0	1.1666666666666667	1.3333333333333333	1.0	1.5	1.6666666666666667	1.8333333333333335	1.6666666666666667
6.0	1.0	1.1428571428571428	0.8571428571428572	1.2857142857142858	1.4285714285714286	1.5714285714285716	1.4285714285714286
7.0	1.125	1.125	1.0	1.375	1.375	1.5000000000000002	1.375
8.0	1.2222222222222223	1.3333333333333333	1.1111111111111112	1.4444444444444444	1.4444444444444444	1.5555555555555558	1.3333333333333333
9.0	1.1	1.2	1.0	1.3	1.3	1.4000000000000001	1.2
10.0	1.1818181818181819	1.2727272727272727	1.0909090909090908	1.3636363636363638	1.4545454545454546	1.6363636363636365	1.2727272727272727
11.0	1.1666666666666667	1.25	1.0833333333333333	1.5833333333333335	1.4166666666666667	1.5833333333333335	1.4166666666666667
12.0	1.076923076923077	1.1538461538461537	0.9999999999999999	1.4615384615384617	1.3076923076923077	1.4615384615384617	1.3076923076923077
14.0	1.1333333333333335	1.2666666666666666	1.0666666666666667	1.4666666666666668	1.3333333333333335	1.4666666666666668	1.3333333333333335
16.0	1.1176470588235297	1.2941176470588236	1.0588235294117647	1.4705882352941178	1.4117647058823533	1.5294117647058822	1.4117647058823533
18.0	1.210526315789474	1.4736842105263157	1.1578947368421053	1.5263157894736845	1.5789473684210529	1.6315789473684208	1.473684210526316
20.0	1.285714285714286	1.5238095238095237	1.2380952380952381	1.4761904761904765	1.619047619047619	1.6666666666666665	1.4761904761904765
23.0	1.3750000000000004	1.6666666666666667	1.3333333333333333	1.5833333333333337	1.8333333333333333	1.8749999999999998	1.666666666666667
25.0	1.384615384615385	1.7307692307692308	1.346153846153846	1.6538461538461542	1.846153846153846	1.8846153846153846	1.6153846153846156
29.0	1.3666666666666671	1.7333333333333334	1.3333333333333333	1.666666666666667	1.8666666666666665	1.9	1.6333333333333335
32.0	1.4242424242424248	1.696969696969697	1.393939393939394	1.666666666666667	1.8181818181818181	1.8484848484848484	1.6666666666666667
36.0	1.4324324324324327	1.6756756756756757	1.4054054054054053	1.7297297297297298	1.8648648648648647	1.8918918918918919	1.6756756756756757
41.0	1.4047619047619049	1.6666666666666665	1.3809523809523812	1.7142857142857142	1.9285714285714286	2.0	1.6666666666666665
46.0	1.3829787234042554	1.6595744680851061	1.3617021276595747	1.6170212765957446	1.9148936170212767	2.021276595744681	1.6595744680851061
52.0	1.4528301886792454	1.773584905660377	1.4339622641509435	1.6981132075471697	2.0	2.1132075471698113	1.7358490566037734
58.0	1.5084745762711864	1.8305084745762705	1.4915254237288138	1.694915254237288	2.016949152542373	2.1355932203389827	1.7966101694915253
65.0	1.5303030303030303	1.9090909090909085	1.5151515151515154	1.6969696969696968	2.0606060606060606	2.2272727272727266	1.8333333333333337
73.0	1.4999999999999998	1.8378378378378373	1.4864864864864866	1.7432432432432432	2.0405405405405403	2.2972972972972974	1.7702702702702708
83.0	1.4880952380952381	1.8452380952380947	1.4761904761904763	1.7500000000000002	2.047619047619048	2.345238095238096	1.7500000000000007
93.0	1.457446808510638	1.787234042553191	1.4468085106382984	1.7553191489361704	2.0957446808510647	2.3191489361702136	1.6914893617021283
104.0	1.514285714285714	1.8761904761904757	1.5047619047619054	1.7809523809523808	2.1714285714285726	2.361904761904762	1.7428571428571433
117.0	1.550847457627119	1.8898305084745761	1.5423728813559328	1.8135593220338984	2.2372881355932215	2.457627118644068	1.7542372881355934
132.0	1.556390977443609	1.894736842105263	1.5488721804511285	1.8421052631578947	2.2481203007518804	2.4586466165413534	1.7518796992481203
148.0	1.5906040268456376	1.912751677852349	1.583892617449665	1.8724832214765097	2.248322147651007	2.476510067114094	1.7651006711409394
