x	arrow-star	arrow-shortpairs	arrow-shortestpairs	ivy-random	localMinPairs-random	minWeight-random	indexMeanWeight-random
1.0	1.0	1.1044084186701275	1.0	3.9852452196578185	3.9852452196578185	3.9852452196578185	3.9852452196578185
2.0	1.0	1.0696056124467517	1.2045908277230464	3.743864714068284	3.743864714068284	3.743864714068284	3.743864714068284
3.0	1.1534431207922848	1.2056473301273485	1.3068862415845695	3.057898535551213	3.1039113253105794	3.2569673662860272	3.1039113253105794
4.0	1.2455089932676557	1.2872723607357066	1.5902855787354857	3.0735926129382745	2.6831290602484636	2.805573893028822	2.6831290602484636
5.0	1.4919046489462382	1.2393936339464222	1.524404304387195	2.792119689226753	2.4667333953185775	2.568770755968876	2.402607550207053
6.0	1.449489403760453	1.252834514265649	1.450729498830124	2.7404695237330445	2.5085766293531546	2.6062118206341496	2.377513502553274
7.0	1.3943883114763587	1.2223152831684052	1.3943883114763584	3.8960908434191315	2.3200045506840103	2.4054353430548807	2.9213106433106835
8.0	1.3505673879789855	1.1976135850385825	1.3505673879789852	3.574302971928117	2.1733373783857868	2.2492758604932273	2.70783168294283
9.0	1.3155106491810868	1.1778522265347242	1.346277666270939	3.3476396918251576	2.0867706576370604	2.155115291533757	2.567815531738399
10.0	1.3147978784281265	1.206805853989204	1.3690721442283618	3.2152794111068266	2.1124992741683086	2.174630759528942	2.627297981930654
11.0	1.3383161322093318	1.2522811495434953	1.3880675425262141	3.030672793514591	2.112809463154798	2.1697633247353787	2.541441227086649
12.0	1.3582161931011207	1.290760245781742	1.430763955943249	3.0527148597670655	2.1761878648059474	2.130601678942467	2.495416587845189
14.0	1.386769356916042	1.3436751072472015	1.5142900782787705	2.7790195451314568	2.055490741606504	2.0159827138581545	2.30946830456439
16.0	1.4660702173044464	1.4357947037127035	1.4783550714217424	2.619004381540567	1.9928624840296418	1.9580024595458039	2.2116219794308485
18.0	1.4542916542162772	1.4341361954222427	1.5588758702758763	2.7398741661898702	1.9474691763928391	1.9162786281704576	2.18169289675133
20.0	1.505649596916269	1.5103558074215038	1.5056495969162689	2.680415681968724	1.919114422329904	1.890894402509654	2.130800788271687
23.0	1.5066158073329963	1.5268173268149692	1.578444262638794	2.5788823172922704	1.856836865872426	1.832144348529707	2.1665543815571606
25.0	1.600251739641162	1.4862929170599715	1.6019741092925346	2.4959825709596295	1.794751056528387	1.7719579635966465	2.144844988294104
29.0	1.6103226305205707	1.4592788526183758	1.6103226305205707	2.6031548577866097	1.868465819623476	1.848711805749301	2.104962693098086
32.0	1.5548387550187006	1.4175262296530688	1.5548387550187006	2.491049082556046	1.849374301229492	1.8136088733803872	2.010154115199345
36.0	1.5222805643083182	1.416168244750319	1.5277294542131394	2.3768941112070174	1.7988725335732754	1.7953826794302037	1.9451445728819325
41.0	1.534405809109687	1.4553258322583986	1.5483094735438812	2.5113849480591233	1.76219055760044	1.7663374833536514	2.015321720597261
46.0	1.5418511077800896	1.4814746703390869	1.5420358027904655	2.4909874784011414	1.7411857035818519	1.7029883041346756	1.9661829591277085
52.0	1.5299477058608733	1.4886648103542126	1.5554753665865464	2.4398987176060762	1.7367768936691286	1.7243784177327839	1.9395150246168331
58.0	1.522473207633004	1.4970170287119182	1.550436247077029	2.3970627783776473	1.7281379609803489	1.740826485155599	1.9025417216817992
65.0	1.4927415510412083	1.46998526988448	1.4927415510412079	2.3722538418229986	1.689149422605843	1.6881973496477778	1.8216265645637721
73.0	1.5370892034181616	1.5342221927477795	1.5370892034181614	2.331311418275152	1.7289784505480028	1.7558014801368436	1.8404925853061793
83.0	1.5334607982423858	1.5184007910440318	1.5389703954422531	2.439506692782478	1.726654002805672	1.700587636475313	1.811742745441681
93.0	1.532536354053379	1.5327746519211674	1.541245552964765	2.402876333646015	1.7033422831787013	1.6767346141162818	1.78499956785787
104.0	1.5478442883393462	1.5391161758541543	1.549833264720242	2.4163604236312257	1.6917818183228672	1.6831848387982944	1.7714673495516284
117.0	1.5563339921599346	1.5280451903057322	1.5563339921599348	2.401770882998055	1.6613371054450317	1.6619518124274952	1.7535507625607445
132.0	1.5628210658085138	1.5182905414118313	1.5651343753641418	2.3805959282432165	1.6431673757757927	1.649180537278861	1.7401086528626046
148.0	1.5407460412829024	1.4957973329551886	1.5448653196934334	2.3511047360707447	1.6156277714774079	1.6178485004924459	1.7010504130309874
166.0	1.577763161690943	1.5385062155707772	1.5789704007716512	2.3728445629412933	1.6199426955351899	1.6187701833690977	1.7183211726716245
187.0	1.567151630719406	1.5389176521672512	1.571506230175098	2.3231079687760907	1.6324462256046102	1.6231141487516718	1.6952912243628404
210.0	1.572679306971641	1.5484179690042277	1.5747893113999052	2.303910738471096	1.6095135363082382	1.5952105134983938	1.6850811545624431
236.0	1.5951787287147874	1.5638278344336265	1.6032496604466053	2.298308426647663	1.5942920849581954	1.58952412526797	1.7014419765111426
265.0	1.6055599648427985	1.5835992624619724	1.6109219495238876	2.3299511925563694	1.6205899897779446	1.6069077492051496	1.6984090882731184
298.0	1.5969808078791592	1.5786879119684132	1.5984698076596404	2.2994782939844325	1.6371388717608735	1.6292853451727902	1.6763011752425678
335.0	1.596212907832644	1.5894237982943211	1.5975903071326112	2.2324741578167324	1.642153990580986	1.64669268525289	1.666850958642419
376.0	1.6068587307172355	1.5878377623507478	1.6106419878131764	2.301664886284107	1.6553208153343715	1.634902288197646	1.6723703138272232
422.0	1.6083832893534544	1.5933243345610686	1.6097946768801736	2.278333898128038	1.6408488352483726	1.6218164901114442	1.6648102298525045
475.0	1.5969179375713685	1.5870251068401307	1.5969179375713676	2.2913173758877114	1.6429062126537355	1.6253571335334849	1.6458078092253503
533.0	1.5979129172794977	1.585252896461554	1.6014949600144048	2.317825650185561	1.6552654046777246	1.6190361599078844	1.645074695795858
599.0	1.610074187273739	1.5838924455327332	1.610074187273739	2.350219244184444	1.642841439142956	1.6045958462653245	1.648860152119232
673.0	1.5904994454883763	1.563599083987802	1.5930218697672014	2.3505004400921856	1.6202249429751696	1.5802698843801875	1.627549434911556
756.0	1.5868049881202682	1.556563818738163	1.5868049881202688	2.346334724802919	1.6136848845657172	1.5760857863838278	1.6175468360823488
849.0	1.583587553786397	1.5507031023594382	1.5837958160253598	2.3486359137561053	1.6084363013925387	1.5791425987241852	1.6111741441515885
954.0	1.5817782638688294	1.5450249773491285	1.5831949822127689	2.3264476006576107	1.6219579276379879	1.5877412003152096	1.607563127665433
1072.0	1.5874214573876382	1.5550901713609584	1.5883004144397805	2.3327128804272195	1.6338223392206561	1.607716202683024	1.6099887452014727
1204.0	1.5924646368243194	1.5622812507376393	1.59246463682432	2.338369804743894	1.6455928882969046	1.611861250274601	1.6117771504403333
