x	ivy-shortestpairs	arrow-shortestpairs
1.0	0.75	0.75
2.0	0.5000000000000001	0.5000000000000001
3.0	0.75	0.75
4.0	0.6000000000000001	0.6000000000000001
5.0	0.5000000000000001	0.5000000000000001
6.0	0.42857142857142866	0.42857142857142866
7.0	0.5625	0.5625
8.0	0.5	0.5
9.0	0.45	0.45
10.0	0.5454545454545455	0.5454545454545455
11.0	0.6250000000000001	0.6250000000000001
12.0	0.576923076923077	0.576923076923077
14.0	0.6000000000000001	0.6000000000000001
16.0	0.5294117647058825	0.5294117647058825
18.0	0.6315789473684211	0.6315789473684211
20.0	0.7857142857142858	0.7857142857142858
23.0	0.8750000000000001	0.8750000000000001
25.0	0.8653846153846155	0.8653846153846155
29.0	0.9000000000000001	0.9000000000000001
32.0	0.9545454545454547	0.9545454545454547
36.0	1.0135135135135136	1.0540540540540542
41.0	1.0714285714285716	1.1071428571428572
46.0	1.021276595744681	1.0851063829787233
52.0	1.1320754716981134	1.160377358490566
58.0	1.1440677966101696	1.2203389830508473
65.0	1.1363636363636365	1.2727272727272725
73.0	1.195945945945946	1.2972972972972971
83.0	1.2142857142857142	1.2857142857142858
93.0	1.2606382978723405	1.324468085106383
104.0	1.3	1.357142857142857
117.0	1.271186440677966	1.3220338983050848
132.0	1.2857142857142858	1.3082706766917294
148.0	1.308724832214765	1.3489932885906042
166.0	1.2754491017964071	1.3203592814371257
187.0	1.2686170212765957	1.3085106382978726
210.0	1.272511848341232	1.3151658767772512
236.0	1.2594936708860762	1.291139240506329
265.0	1.2518796992481205	1.2913533834586464
298.0	1.239130434782609	1.2892976588628757
335.0	1.2633928571428577	1.3169642857142851
376.0	1.261273209549072	1.3289124668435006
422.0	1.2695035460992914	1.3546099290780134
475.0	1.2510504201680683	1.342436974789915
533.0	1.2668539325842705	1.367977528089887
599.0	1.2625000000000006	1.3474999999999988
673.0	1.2596439169139473	1.3597922848664679
756.0	1.2681638044914139	1.3632760898282683
849.0	1.2811764705882354	1.360588235294117
954.0	1.2801047120418847	1.3602094240837694
1072.0	1.2651444547996273	1.3504193849021426
1204.0	1.267219917012449	1.3481327800829865
1353.0	1.2573855243722312	1.3415805022156568
1519.0	1.2651315789473685	1.3529605263157891
1707.0	1.2461943793911008	1.3454332552693204
1917.0	1.2473931178310738	1.3420229405630872
2154.0	1.2410672853828306	1.3287703016241315
2420.0	1.2428748451053284	1.3296158612143754
2718.0	1.2478852519308565	1.3422214049282832
3053.0	1.2480353634577597	1.3428290766208264
3430.0	1.2525502768872046	1.3517924803264394
3853.0	1.255578619615984	1.3478204462895726
4328.0	1.2508662508662511	1.3440748440748465
4862.0	1.249228871067244	1.3460826650215951
5462.0	1.2457440966501947	1.3401976935749607
6135.0	1.2460071707953109	1.3369458930899636
6892.0	1.2488756709705513	1.3404903525315546
7742.0	1.2531964354901204	1.3401782254939953
8697.0	1.2535640377098187	1.3409979305587483
9770.0	1.2539146453791832	1.3429536383174696
10974.0	1.2556264236902048	1.3437813211845102
12328.0	1.2541163111363434	1.3400113553410649
13848.0	1.2509928514694169	1.3388331287457524
15556.0	1.2510445458635988	1.3361830687150407
17475.0	1.2525463492790114	1.338292515449754
19630.0	1.2527380164026278	1.3367123427232388
22051.0	1.2566887357155807	1.3398784690730972
24770.0	1.2565701828751332	1.3392273222720081
27825.0	1.2595773736792895	1.3398440307625874
31256.0	1.2584701026969909	1.3386601401286062
35111.0	1.2605092276144882	1.341934381408061
39441.0	1.2577455504284771	1.3370011662694528
44305.0	1.2580350291156905	1.337527648625463
49769.0	1.2553948161543047	1.3352019288728099
55907.0	1.254453745438929	1.333628461043136
62802.0	1.253228348964216	1.333861439740139
70547.0	1.2540398026875248	1.3333900323184256
79247.0	1.2532556026650468	1.3317307692307734
89020.0	1.2540580312510539	1.3318711315307694
99999.0	1.2531150000000002	1.331789999999998
