x	ivy-shortestpairs	arrow-shortestpairs
1.0	1.0	1.0
2.0	1.0	1.0
3.0	1.0	1.0
4.0	1.0	1.0
5.0	1.0	1.0
6.0	1.0	1.0
7.0	1.0	1.0
8.0	1.0	1.0
9.0	1.0	1.0
10.0	1.0	1.0
11.0	1.0	1.0
12.0	1.0	1.0
14.0	1.0	1.0
16.0	1.0	1.0
18.0	1.0	1.0
20.0	1.0	1.0
23.0	1.0	1.0
25.0	1.0	1.0
29.0	1.0	1.0
32.0	1.0	1.0
36.0	1.0	1.0
41.0	1.0	1.0
46.0	1.0	1.0
52.0	1.0	1.0
58.0	1.0	1.0
65.0	1.0	1.0
73.0	1.0	1.0
83.0	1.0	1.0
93.0	1.0	1.0
104.0	1.0	1.0
117.0	1.0	1.0
132.0	1.0	1.0
148.0	1.0	1.0
166.0	1.0	1.0
187.0	1.0	1.0
210.0	1.0	1.0
236.0	1.0	1.0
265.0	1.0	1.0
298.0	1.0	1.0
335.0	1.0	1.0
376.0	1.0	1.0
422.0	1.0	1.0
475.0	1.0	1.0
533.0	1.0	1.0
599.0	1.0	1.0
673.0	1.0	1.0
756.0	1.0	1.0
849.0	1.0	1.0
954.0	1.0	1.0
1072.0	1.0	1.0
1204.0	1.0	1.0
1353.0	1.0	1.0
1519.0	1.0	1.0
1707.0	1.0	1.0
1917.0	1.0	1.0
2154.0	1.0	1.0
2420.0	1.0	1.0
2718.0	1.0	1.0
3053.0	1.0	1.0
3430.0	1.0	1.0
3853.0	1.0	1.0
4328.0	1.0	1.0
4862.0	1.0	1.0
5462.0	1.0	1.0
6135.0	1.0	1.0
6892.0	1.0	1.0
7742.0	1.0	1.0
8697.0	1.0	1.0
9770.0	1.0	1.0
10974.0	1.0	1.0
12328.0	1.0	1.0
13848.0	1.0	1.0
15556.0	1.0	1.0
17475.0	1.0	1.0
19630.0	1.0	1.0
22051.0	1.0	1.0
24770.0	1.0	1.0
27825.0	1.0	1.0
31256.0	1.0	1.0
35111.0	1.0	1.0
39441.0	1.0	1.0
44305.0	1.0	1.0
49769.0	1.0	1.0
55907.0	1.0	1.0
62802.0	1.0	1.0
70547.0	1.0	1.0
79247.0	1.0	1.0
89020.0	1.0	1.0
99999.0	1.0	1.0
100000.0	1.0	1.0
