x	arrow-star	arrow-approxMinPairs	arrow-minPairs	arrow-random	arrow-mst
1.0	1.5	2.5	2.0	1.0	2.5
2.0	1.6666666666666667	3.666666666666667	3.0	2.0	4.333333333333333
3.0	1.5	3.75	2.75	2.25	4.25
4.0	1.4	3.4	2.6	2.6	3.8
5.0	1.5	3.5	2.666666666666667	3.0	3.5
6.0	1.5714285714285714	3.5714285714285716	2.7142857142857144	3.2857142857142856	3.2857142857142856
7.0	1.625	3.875	2.875	3.25	3.625
8.0	1.6666666666666667	4.111111111111111	3.0	3.2222222222222223	3.888888888888889
9.0	1.7000000000000002	4.3	3.1	3.2	4.1
10.0	1.7272727272727275	4.0	3.0	3.0909090909090913	3.818181818181818
11.0	1.666666666666667	3.9166666666666665	2.9166666666666665	2.916666666666667	3.7499999999999996
12.0	1.6153846153846156	3.846153846153846	2.846153846153846	2.7692307692307696	3.692307692307692
14.0	1.6666666666666667	3.5999999999999996	2.6666666666666665	2.6	3.466666666666667
16.0	1.588235294117647	3.2352941176470584	2.411764705882353	2.3529411764705883	3.1176470588235294
18.0	1.6315789473684208	3.473684210526315	2.7368421052631575	2.5789473684210527	3.5789473684210527
20.0	1.6666666666666663	3.476190476190476	2.8571428571428568	2.5714285714285716	3.6666666666666665
23.0	1.6249999999999996	3.2499999999999996	2.7499999999999996	2.4583333333333335	3.5
25.0	1.6538461538461535	3.0769230769230766	2.615384615384615	2.576923076923077	3.3076923076923075
29.0	1.6999999999999995	3.0999999999999996	2.5999999999999996	2.5333333333333328	3.3
32.0	1.7272727272727268	3.151515151515151	2.757575757575758	2.6060606060606055	3.5151515151515147
36.0	1.7027027027027022	3.0270270270270268	2.648648648648649	2.4594594594594588	3.3513513513513513
41.0	1.6428571428571426	2.857142857142857	2.5238095238095237	2.404761904761904	3.1904761904761902
46.0	1.6595744680851063	2.787234042553192	2.48936170212766	2.4468085106382977	3.085106382978723
52.0	1.6792452830188678	2.8113207547169807	2.5094339622641515	2.3962264150943393	3.113207547169811
58.0	1.6779661016949152	2.71186440677966	2.440677966101695	2.3559322033898304	2.9830508474576267
65.0	1.6515151515151516	2.651515151515151	2.409090909090909	2.363636363636364	2.9545454545454546
73.0	1.6621621621621623	2.6486486486486482	2.432432432432432	2.364864864864865	2.9999999999999996
83.0	1.6547619047619047	2.607142857142857	2.345238095238095	2.357142857142858	2.8690476190476186
93.0	1.6914893617021274	2.75531914893617	2.4148936170212765	2.361702127659575	2.9893617021276593
104.0	1.7238095238095237	2.7904761904761908	2.4095238095238094	2.390476190476191	3.019047619047619
117.0	1.7033898305084743	2.8050847457627124	2.483050847457627	2.440677966101695	3.1101694915254234
132.0	1.6917293233082706	2.812030075187971	2.481203007518797	2.353383458646616	3.0827067669172927
148.0	1.6845637583892616	2.9060402684563766	2.5570469798657722	2.4161073825503347	3.2281879194630863
166.0	1.6706586826347305	2.8502994011976055	2.502994011976048	2.4371257485029933	3.161676646706587
187.0	1.675531914893617	2.8351063829787244	2.5	2.478723404255319	3.154255319148937
210.0	1.6729857819905212	2.8578199052132702	2.5023696682464456	2.4265402843601893	3.1895734597156395
236.0	1.6919831223628692	2.9915611814346	2.6075949367088604	2.4556962025316453	3.3966244725738384
265.0	1.7105263157894737	2.9849624060150375	2.62406015037594	2.462406015037594	3.3984962406015025
298.0	1.7157190635451507	2.9464882943143813	2.618729096989967	2.484949832775919	3.3879598662207338
335.0	1.7172619047619044	2.961309523809524	2.616071428571429	2.4494047619047614	3.3898809523809503
376.0	1.705570291777188	3.0079575596816985	2.6312997347480103	2.4641909814323593	3.4323607427055687
422.0	1.6997635933806143	2.973995271867613	2.5910165484633567	2.4231678486997628	3.3617021276595715
475.0	1.691176470588235	2.9747899159663875	2.5987394957983203	2.4033613445378155	3.3655462184873928
533.0	1.6872659176029965	3.0018726591760307	2.6179775280898876	2.45692883895131	3.4288389513108597
599.0	1.685000000000001	2.9866666666666672	2.620000000000001	2.4650000000000007	3.4199999999999977
673.0	1.6839762611275972	2.970326409495551	2.593471810089023	2.4287833827893195	3.3768545994065255
756.0	1.6869220607661826	2.990752972258917	2.5970937912813765	2.4451783355350076	3.368560105680315
849.0	1.6764705882352937	2.9894117647058813	2.5870588235294134	2.4552941176470613	3.3611764705882328
954.0	1.6638743455497376	2.9832460732984285	2.5602094240837694	2.4429319371727782	3.3497382198952868
1072.0	1.6533084808946867	2.962721342031689	2.543336439888164	2.466915191053125	3.3410997204100643
1204.0	1.6539419087136922	2.966804979253112	2.561825726141078	2.4771784232365177	3.3817427385892094
1353.0	1.6477104874446087	2.965288035450516	2.5516986706056124	2.484490398818318	3.3774002954209728
1519.0	1.6342105263157884	2.926973684210526	2.5190789473684205	2.4756578947368446	3.32565789473684
1707.0	1.6305620608899287	2.948477751756439	2.542740046838408	2.5140515222482454	3.3571428571428528
1917.0	1.6313868613138682	2.932221063607922	2.5401459854014634	2.525026068821691	3.3378519290927997
2154.0	1.617633410672854	2.922969837587005	2.526682134570767	2.523897911832949	3.320185614849185
2420.0	1.6022304832713752	2.893432465923168	2.5125980999586957	2.5179677819083017	3.2916150351094573
2718.0	1.5950717175432145	2.890033100404556	2.508642883413022	2.5023905847738135	3.2835601324016186
3053.0	1.6028159790438756	2.885723641126386	2.507858546168965	2.515389652914208	3.281925343811397
3430.0	1.6091518507723694	2.8848732148061758	2.5083066161469034	2.5080151559312154	3.2760128242494893
3853.0	1.6105345096004149	2.8889465490399577	2.5085625324338405	2.510897768552153	3.283860923715618
4328.0	1.6121506121506122	2.8905058905058865	2.5075075075075093	2.5139755139755176	3.2836682836682836
4862.0	1.6197820275550068	2.9031462060456485	2.5134690520255036	2.520666255397909	3.287682500514086
5462.0	1.6188907193849513	2.8861431447922357	2.5032033681127666	2.5112575507962713	3.2738422112392436
6135.0	1.6243481095175978	2.890482398956972	2.5073337679269962	2.4973924380704147	3.2780312907431495
6892.0	1.6185985782678052	2.8948208327288545	2.5148701581314414	2.4813578993181546	3.2807195705788414
7742.0	1.617073485729046	2.8864781092599747	2.5109130827844517	2.4903784063024768	3.2785741960480395
8697.0	1.6156587721315265	2.8803173143251306	2.5041388825017274	2.4885031041618872	3.2693722694872362
9770.0	1.6195885784464263	2.8855797768907965	2.511820693890086	2.4906355541909835	3.2783747825196974
10974.0	1.6145785876993166	2.8799088838268796	2.505968109339406	2.4837357630979646	3.271343963553533
12328.0	1.6136750750263626	2.8751723578554564	2.5051504582691173	2.4786276259226354	3.271311541893105
13848.0	1.6135461044118715	2.8727705971550273	2.5011914217633033	2.4858834572893467	3.266734060220961
15556.0	1.6164427588866754	2.8874461657131842	2.5119881725268316	2.495468277945627	3.2826380407533557
17475.0	1.6166742961776117	2.889448386358435	2.5125886930647665	2.5017738612955034	3.2855344472419383
19630.0	1.6199378533951319	2.892160358616477	2.515511181294876	2.504253476644097	3.2902042687585964
22051.0	1.6175857065118666	2.892209323417383	2.5143751133683896	2.5002267368039277	3.2904498458189684
24770.0	1.6174155262201662	2.8898308505914203	2.510193371280925	2.4972346695733028	3.283113317992815
27825.0	1.615934737296045	2.8861496442176375	2.5054265794580606	2.4889312154100622	3.276863365198015
31256.0	1.6169498032440708	2.895095498608309	2.5114374380138846	2.4919538023482772	3.2905909076366897
35111.0	1.6176520847573497	2.89687286397813	2.51068010936431	2.4890635680109368	3.2923501936659934
39441.0	1.617184726940829	2.8925510876730423	2.509304801987724	2.488844379088284	3.289133411084649
44305.0	1.6164176409515763	2.8974179569358482	2.5110143095743314	2.491152439850139	3.293391414255427
49769.0	1.6180028129395392	2.901928872814933	2.51760096443643	2.4957805907173105	3.3002009242515684
55907.0	1.6162445446090223	2.9035916147957295	2.5169743149459998	2.4978536166559464	3.300922944837962
62802.0	1.6170246644268773	2.8993678645924437	2.515946690444724	2.4991003614477094	3.2978838590513324
70547.0	1.6154816578783409	2.896099109825921	2.5154788229290697	2.496924080058983	3.2950898678913787
79247.0	1.6160281647486594	2.8957071471835194	2.515180193821918	2.495684433676564	3.2957677165354524
89020.0	1.6174048819941602	2.895451635007467	2.514193280237247	2.4953100953707756	3.2939643454915273
99999.0	1.6178000000000239	2.8962099999999853	2.514169999999996	2.4953300000000205	3.2940300000000353
