x	arrow-star	arrow-approxMinPairs	arrow-minPairs	arrow-random	arrow-mst
1.0	1.3861238637389994	1.4656513476458617	0.8442751653796833	1.2156251507508298	1.016147252285946
2.0	1.7134461228043105	2.0649011980570564	1.4994309517496947	2.2967129118003693	1.99659235993587
3.0	1.582317787236492	2.0694704752296005	1.4443688212657104	2.492068013286586	2.0182388466387104
4.0	1.5033554472204165	1.8977270965276145	1.3976457733565024	2.870788365421366	1.8567417936549024
5.0	1.647240197276682	1.9799352760816593	1.3560754460170064	3.3533944528702553	1.657876609173888
6.0	1.7500150187454429	2.0386554043345484	1.3263823550602236	3.698113086762319	1.515830048830306
7.0	1.8283179998634063	2.1955649648510924	1.471826562119374	3.6795890563765234	1.7380927787848806
8.0	1.8892203185107113	2.317605734141738	1.5849498342764912	3.6651814771875713	1.910963790971772
9.0	1.9379421734285551	2.4152383495742544	1.6754484520021846	3.6536554138364092	2.049260600721285
10.0	1.965349972742367	2.2641700974312458	1.7074656956745122	3.505835660978353	1.9314630530194554
11.0	1.8891120737927902	2.1862968168741483	1.6538799022642066	3.301223954675778	1.8813153594966734
12.0	1.8246030823739177	2.1204040410181424	1.608538077070871	3.128090972419752	1.838882695746627
14.0	1.8204127368905236	2.016261878660056	1.6039883552032979	2.9209341978389944	1.772276712758076
16.0	1.657059270254938	1.8115557868492687	1.4477850308580114	2.6097960684777437	1.5962747581122274
18.0	1.7111710521411485	1.9072072196137515	1.576290181524417	2.8191972011405695	1.7876485808865328
20.0	1.7652618377347629	1.8946044259110781	1.659928701113354	2.8034640020244845	1.819483832603417
23.0	1.6400909107723658	1.7533100392487382	1.5625661759900524	2.701666137353011	1.716499589952713
25.0	1.6665493807663503	1.650302239935883	1.4742309815432497	2.8829437932285176	1.6163233636626286
29.0	1.6896198243930864	1.688135741485793	1.4773505267013154	2.8090402219477895	1.6287204423583115
32.0	1.7102385209353295	1.7176659768554823	1.5498539013434123	2.8620434281810065	1.7267504027719784
36.0	1.6268643688917375	1.6410346821556205	1.4841954105909303	2.74134130358575	1.6491370079730359
41.0	1.554921307842722	1.567627732752688	1.4082118301364464	2.6814477750703265	1.5698862932498503
46.0	1.5861691307613088	1.5186377886772182	1.4040520994572019	2.6874087938292583	1.5206560767810653
52.0	1.5758015900653697	1.5211446608985257	1.3926833143453214	2.6127229425914584	1.5190679255497948
58.0	1.5877029061642496	1.4710902060402382	1.3898925896585936	2.595509498420601	1.469224664116802
65.0	1.561816425971605	1.4530330341044082	1.3917305766447567	2.601671010285029	1.4723981307594052
73.0	1.5944149175697115	1.453146529666545	1.4064131425761777	2.583223155437834	1.4864077893635557
83.0	1.5796506273037572	1.4480127034468357	1.3380927513069538	2.590872390600351	1.4147801541846097
93.0	1.6355382020291132	1.5343784544443329	1.3932072371125976	2.6100477176897168	1.4936882635001434
104.0	1.6775922296271086	1.5578817333587267	1.3867401795991625	2.647827708682604	1.5096612736078303
117.0	1.6503202702923139	1.552462317725444	1.4129120305817378	2.687917868724181	1.544846570134711
132.0	1.6466160721903553	1.5605785586634429	1.42038337643087	2.5938025634249735	1.538282725301337
148.0	1.640885679560527	1.5916239536385426	1.4466751343155826	2.658270448545092	1.5996719014303378
166.0	1.6066725347414568	1.56303498577313	1.4206613364731548	2.67388992154625	1.5677612803375034
187.0	1.6254533460647895	1.5547375760597477	1.4334705479023988	2.7262314384141013	1.5689216702456819
210.0	1.6136341394840348	1.57173454066801	1.4351501106608544	2.666522242276258	1.5880378274764333
236.0	1.644909638428013	1.656441441994905	1.5022872989946445	2.696816614793262	1.7008747892850404
265.0	1.6604871787624316	1.6504311449823301	1.518941208571683	2.711277959723313	1.7082855624344204
298.0	1.6523401999622551	1.6276123680457357	1.5069971137160714	2.7261637004644794	1.6981535770113825
335.0	1.6520255989793209	1.6336975946116707	1.5080079099647574	2.690990611929484	1.7057897604692267
376.0	1.6435305347373044	1.6552848877059534	1.512713083580068	2.69584500351852	1.726042420084756
422.0	1.615565358252356	1.637610106101859	1.4815936627577464	2.6492342470586943	1.6899324735608998
475.0	1.617212918468854	1.6314664755798192	1.4840122448185111	2.636694501559328	1.689943172793362
533.0	1.6138429433334733	1.6501054158633477	1.4953803610636707	2.695806087253548	1.7222887849162212
599.0	1.6120473130384525	1.6394556462596008	1.4949720925856393	2.6999499610065243	1.7142681690968045
673.0	1.5969031870585948	1.6259370120265975	1.4856011589198814	2.662554183018008	1.696877269349104
756.0	1.6082676340078275	1.6380791746586827	1.4898552044112927	2.675958464029056	1.693447016965491
849.0	1.6059111285309728	1.6340549978209131	1.4824731409090384	2.6877354169268823	1.6884772972647304
954.0	1.5881994520958187	1.6381879024591786	1.4721212295318673	2.6793081512433545	1.6899469881437807
1072.0	1.5756472157321064	1.6330000592466773	1.4605157532383897	2.7045810522011857	1.6856612234474033
1204.0	1.5765922522487843	1.6384446719919417	1.4714657842016736	2.714287572865436	1.7046141153188323
1353.0	1.5674109002024632	1.6357439718913411	1.4570722836253822	2.7192882244795165	1.696088659660544
1519.0	1.5601529324305776	1.6140228552976659	1.436192829855912	2.711598011776602	1.6685661786269292
1707.0	1.56629901689105	1.6226577390574675	1.4422057176785357	2.757332883528083	1.6789460443906687
1917.0	1.5650402904031977	1.611983019851976	1.4367056316831264	2.7622698400350085	1.6662985389806892
2154.0	1.5516937196633143	1.6027938483751327	1.4294934997389201	2.760064027424869	1.658609428889654
2420.0	1.5418773255680198	1.5847215655515512	1.4155760615577841	2.751970213228027	1.6408287264008192
2718.0	1.5361052202950207	1.5817215708921215	1.4145270808531365	2.732931618837649	1.6383831809764204
3053.0	1.5404799999296928	1.5780867550913307	1.4122597958954048	2.7462327386442054	1.6344502161263728
3430.0	1.542767495235233	1.5773390230164486	1.4127489909201005	2.739718347919373	1.6316929799203692
3853.0	1.5421352697820234	1.580784203886781	1.4147145478157275	2.7434346998552313	1.6370316016773505
4328.0	1.5415970066532674	1.5806180222331991	1.4139584933843765	2.7436301312470737	1.6366115076361616
4862.0	1.5488246280501663	1.5860295252909833	1.4146905202949311	2.751484707459659	1.6376065708999545
